"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.86883484414E-002, +0.00000000000E+000
+2.50625000000E+008, +1.05573414627E-001, +0.00000000000E+000
+2.51250000000E+008, +7.96641632684E-002, +0.00000000000E+000
+2.51875000000E+008, +3.02368463335E-002, +0.00000000000E+000
+2.52500000000E+008, +1.64103016016E-001, +0.00000000000E+000
+2.53125000000E+008, -3.80854971206E-002, +0.00000000000E+000
+2.53750000000E+008, +1.53323383669E-002, +0.00000000000E+000
+2.54375000000E+008, +6.59357853241E-002, +0.00000000000E+000
+2.55000000000E+008, +3.77055320689E-002, +0.00000000000E+000
+2.55625000000E+008, +5.24657525721E-002, +0.00000000000E+000
+2.56250000000E+008, +1.51484339268E-001, +0.00000000000E+000
+2.56875000000E+008, +1.20095502098E-001, +0.00000000000E+000
+2.57500000000E+008, -3.48715974799E-002, +0.00000000000E+000
+2.58125000000E+008, +9.63007120786E-002, +0.00000000000E+000
+2.58750000000E+008, +1.94272589501E-001, +0.00000000000E+000
+2.59375000000E+008, +1.68207896619E-001, +0.00000000000E+000
+2.60000000000E+008, +1.78629921454E-001, +0.00000000000E+000
+2.60625000000E+008, -4.05093331361E-003, +0.00000000000E+000
+2.61250000000E+008, +1.24492718555E-001, +0.00000000000E+000
+2.61875000000E+008, -2.62821908811E-002, +0.00000000000E+000
+2.62500000000E+008, +1.61751794769E-001, +0.00000000000E+000
+2.63125000000E+008, +1.71171033247E-001, +0.00000000000E+000
+2.63750000000E+008, +1.53850846206E-001, +0.00000000000E+000
+2.64375000000E+008, +6.40413496078E-003, +0.00000000000E+000
+2.65000000000E+008, +5.61308117471E-002, +0.00000000000E+000
+2.65625000000E+008, +7.70468177082E-002, +0.00000000000E+000
+2.66250000000E+008, +1.62176272922E-001, +0.00000000000E+000
+2.66875000000E+008, +1.58017756678E-001, +0.00000000000E+000
+2.67500000000E+008, +1.54236525668E-001, +0.00000000000E+000
+2.68125000000E+008, +1.19437582510E-001, +0.00000000000E+000
+2.68750000000E+008, +8.42974624811E-002, +0.00000000000E+000
+2.69375000000E+008, +2.51778105465E-001, +0.00000000000E+000
+2.70000000000E+008, +2.15926351624E-001, +0.00000000000E+000
+2.70625000000E+008, +4.66048940762E-002, +0.00000000000E+000
+2.71250000000E+008, +2.33339636608E-001, +0.00000000000E+000
+2.71875000000E+008, -3.59531343480E-002, +0.00000000000E+000
+2.72500000000E+008, +1.76282262822E-001, +0.00000000000E+000
+2.73125000000E+008, +1.71441176197E-001, +0.00000000000E+000
+2.73750000000E+008, +1.28192443450E-001, +0.00000000000E+000
+2.74375000000E+008, +9.78420678132E-002, +0.00000000000E+000
+2.75000000000E+008, +1.97938965393E-001, +0.00000000000E+000
+2.75625000000E+008, +6.95366235677E-002, +0.00000000000E+000
+2.76250000000E+008, +4.94671294354E-002, +0.00000000000E+000
+2.76875000000E+008, +1.58914437443E-004, +0.00000000000E+000
+2.77500000000E+008, +1.75033987796E-001, +0.00000000000E+000
+2.78125000000E+008, +1.69731835896E-001, +0.00000000000E+000
+2.78750000000E+008, +1.98567824242E-001, +0.00000000000E+000
+2.79375000000E+008, +5.25987137511E-002, +0.00000000000E+000
+2.80000000000E+008, +8.30064127149E-002, +0.00000000000E+000
+2.80625000000E+008, +2.08435503416E-001, +0.00000000000E+000
+2.81250000000E+008, +2.37404856582E-001, +0.00000000000E+000
+2.81875000000E+008, +2.31666896735E-001, +0.00000000000E+000
+2.82500000000E+008, +2.81622624604E-001, +0.00000000000E+000
+2.83125000000E+008, +9.44080757235E-002, +0.00000000000E+000
+2.83750000000E+008, +2.84158176627E-001, +0.00000000000E+000
+2.84375000000E+008, +2.74429001441E-001, +0.00000000000E+000
+2.85000000000E+008, +4.68243241989E-002, +0.00000000000E+000
+2.85625000000E+008, +1.89143774971E-001, +0.00000000000E+000
+2.86250000000E+008, +1.54013651940E-001, +0.00000000000E+000
+2.86875000000E+008, +1.40365899515E-001, +0.00000000000E+000
+2.87500000000E+008, +1.87107770000E-001, +0.00000000000E+000
+2.88125000000E+008, +2.16429718984E-001, +0.00000000000E+000
+2.88750000000E+008, +1.70752358062E-001, +0.00000000000E+000
+2.89375000000E+008, +1.05406982827E-001, +0.00000000000E+000
+2.90000000000E+008, +2.90148466092E-001, +0.00000000000E+000
+2.90625000000E+008, +6.93898076190E-002, +0.00000000000E+000
+2.91250000000E+008, +2.40898817867E-001, +0.00000000000E+000
+2.91875000000E+008, +1.23507586393E-001, +0.00000000000E+000
+2.92500000000E+008, +1.15988911877E-001, +0.00000000000E+000
+2.93125000000E+008, +2.46628053490E-001, +0.00000000000E+000
