"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -8.62740903578E+000, +0.00000000000E+000
+2.50625000000E+008, -8.63566035141E+000, +0.00000000000E+000
+2.51250000000E+008, -8.63802291555E+000, +0.00000000000E+000
+2.51875000000E+008, -8.64575116095E+000, +0.00000000000E+000
+2.52500000000E+008, -8.64590559097E+000, +0.00000000000E+000
+2.53125000000E+008, -8.66121183037E+000, +0.00000000000E+000
+2.53750000000E+008, -8.66019525343E+000, +0.00000000000E+000
+2.54375000000E+008, -8.66291041528E+000, +0.00000000000E+000
+2.55000000000E+008, -8.66761079445E+000, +0.00000000000E+000
+2.55625000000E+008, -8.67077832552E+000, +0.00000000000E+000
+2.56250000000E+008, -8.68369399027E+000, +0.00000000000E+000
+2.56875000000E+008, -8.69122330751E+000, +0.00000000000E+000
+2.57500000000E+008, -8.69693720053E+000, +0.00000000000E+000
+2.58125000000E+008, -8.70330136014E+000, +0.00000000000E+000
+2.58750000000E+008, -8.70988007007E+000, +0.00000000000E+000
+2.59375000000E+008, -8.71512195955E+000, +0.00000000000E+000
+2.60000000000E+008, -8.71700036624E+000, +0.00000000000E+000
+2.60625000000E+008, -8.72645007493E+000, +0.00000000000E+000
+2.61250000000E+008, -8.73471152976E+000, +0.00000000000E+000
+2.61875000000E+008, -8.73500100286E+000, +0.00000000000E+000
+2.62500000000E+008, -8.74385282497E+000, +0.00000000000E+000
+2.63125000000E+008, -8.74890818492E+000, +0.00000000000E+000
+2.63750000000E+008, -8.75621483528E+000, +0.00000000000E+000
+2.64375000000E+008, -8.75798041591E+000, +0.00000000000E+000
+2.65000000000E+008, -8.76968903328E+000, +0.00000000000E+000
+2.65625000000E+008, -8.77878695999E+000, +0.00000000000E+000
+2.66250000000E+008, -8.77754176531E+000, +0.00000000000E+000
+2.66875000000E+008, -8.79212293078E+000, +0.00000000000E+000
+2.67500000000E+008, -8.79639878271E+000, +0.00000000000E+000
+2.68125000000E+008, -8.80246408270E+000, +0.00000000000E+000
+2.68750000000E+008, -8.80704183924E+000, +0.00000000000E+000
