"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -5.11431511047E+001, +0.00000000000E+000
+2.50625000000E+008, -5.12915817410E+001, +0.00000000000E+000
+2.51250000000E+008, -5.12856854227E+001, +0.00000000000E+000
+2.51875000000E+008, -5.01620925439E+001, +0.00000000000E+000
+2.52500000000E+008, -5.23702161497E+001, +0.00000000000E+000
+2.53125000000E+008, -5.08861097974E+001, +0.00000000000E+000
+2.53750000000E+008, -5.05206968148E+001, +0.00000000000E+000
+2.54375000000E+008, -5.08666513944E+001, +0.00000000000E+000
+2.55000000000E+008, -5.14901523218E+001, +0.00000000000E+000
+2.55625000000E+008, -5.11194500299E+001, +0.00000000000E+000
+2.56250000000E+008, -5.17335724310E+001, +0.00000000000E+000
+2.56875000000E+008, -5.07105544795E+001, +0.00000000000E+000
+2.57500000000E+008, -5.19911234798E+001, +0.00000000000E+000
+2.58125000000E+008, -5.06939776012E+001, +0.00000000000E+000
+2.58750000000E+008, -5.09838275472E+001, +0.00000000000E+000
+2.59375000000E+008, -5.13606386487E+001, +0.00000000000E+000
+2.60000000000E+008, -5.15504917201E+001, +0.00000000000E+000
+2.60625000000E+008, -5.15711597053E+001, +0.00000000000E+000
+2.61250000000E+008, -5.15489094309E+001, +0.00000000000E+000
+2.61875000000E+008, -5.01785809198E+001, +0.00000000000E+000
+2.62500000000E+008, -5.03489648430E+001, +0.00000000000E+000
+2.63125000000E+008, -5.07197849765E+001, +0.00000000000E+000
+2.63750000000E+008, -5.03137292027E+001, +0.00000000000E+000
+2.64375000000E+008, -5.13548695775E+001, +0.00000000000E+000
+2.65000000000E+008, -5.02843941227E+001, +0.00000000000E+000
+2.65625000000E+008, -5.11660252495E+001, +0.00000000000E+000
+2.66250000000E+008, -5.12763413136E+001, +0.00000000000E+000
+2.66875000000E+008, -5.03955603494E+001, +0.00000000000E+000
+2.67500000000E+008, -5.06788591432E+001, +0.00000000000E+000
+2.68125000000E+008, -5.05495743949E+001, +0.00000000000E+000
+2.68750000000E+008, -5.08637427053E+001, +0.00000000000E+000
+2.69375000000E+008, -5.17368818791E+001, +0.00000000000E+000
+2.70000000000E+008, -5.16673099928E+001, +0.00000000000E+000
+2.70625000000E+008, -5.16440314145E+001, +0.00000000000E+000
+2.71250000000E+008, -5.15822190493E+001, +0.00000000000E+000
+2.71875000000E+008, -5.17278642501E+001, +0.00000000000E+000
+2.72500000000E+008, -5.06252226483E+001, +0.00000000000E+000
+2.73125000000E+008, -5.08882421190E+001, +0.00000000000E+000
+2.73750000000E+008, -5.18198940425E+001, +0.00000000000E+000
+2.74375000000E+008, -5.08255286908E+001, +0.00000000000E+000
+2.75000000000E+008, -5.18399772625E+001, +0.00000000000E+000
+2.75625000000E+008, -5.16366812258E+001, +0.00000000000E+000
+2.76250000000E+008, -5.16097925136E+001, +0.00000000000E+000
+2.76875000000E+008, -5.11877362899E+001, +0.00000000000E+000
+2.77500000000E+008, -5.14120995883E+001, +0.00000000000E+000
+2.78125000000E+008, -5.23111524933E+001, +0.00000000000E+000
+2.78750000000E+008, -5.12501619042E+001, +0.00000000000E+000
+2.79375000000E+008, -5.20123437703E+001, +0.00000000000E+000
+2.80000000000E+008, -5.14703515282E+001, +0.00000000000E+000
+2.80625000000E+008, -5.21213803047E+001, +0.00000000000E+000
+2.81250000000E+008, -5.21325594448E+001, +0.00000000000E+000
+2.81875000000E+008, -5.10050379455E+001, +0.00000000000E+000
+2.82500000000E+008, -5.12493772390E+001, +0.00000000000E+000
+2.83125000000E+008, -5.12713270320E+001, +0.00000000000E+000
+2.83750000000E+008, -5.20849973609E+001, +0.00000000000E+000
+2.84375000000E+008, -5.30417042533E+001, +0.00000000000E+000
+2.85000000000E+008, -5.16564095903E+001, +0.00000000000E+000
+2.85625000000E+008, -5.18645028547E+001, +0.00000000000E+000
+2.86250000000E+008, -5.15197213773E+001, +0.00000000000E+000
+2.86875000000E+008, -5.23617783983E+001, +0.00000000000E+000
+2.87500000000E+008, -5.28362347271E+001, +0.00000000000E+000
+2.88125000000E+008, -5.27849287933E+001, +0.00000000000E+000
+2.88750000000E+008, -5.32191533421E+001, +0.00000000000E+000
