"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +6.30848941650E-002, +0.00000000000E+000
+2.50625000000E+008, +6.60814208029E-002, +0.00000000000E+000
+2.51250000000E+008, +6.55247569254E-002, +0.00000000000E+000
+2.51875000000E+008, +6.39705365056E-002, +0.00000000000E+000
+2.52500000000E+008, +6.47076703920E-002, +0.00000000000E+000
+2.53125000000E+008, +6.43920228565E-002, +0.00000000000E+000
+2.53750000000E+008, +6.27801365914E-002, +0.00000000000E+000
+2.54375000000E+008, +6.50529985103E-002, +0.00000000000E+000
+2.55000000000E+008, +6.62927690236E-002, +0.00000000000E+000
+2.55625000000E+008, +6.42681507175E-002, +0.00000000000E+000
+2.56250000000E+008, +6.45429118801E-002, +0.00000000000E+000
+2.56875000000E+008, +6.54069696983E-002, +0.00000000000E+000
+2.57500000000E+008, +6.49510686372E-002, +0.00000000000E+000
+2.58125000000E+008, +6.54272904800E-002, +0.00000000000E+000
+2.58750000000E+008, +6.58036502833E-002, +0.00000000000E+000
+2.59375000000E+008, +6.81233593356E-002, +0.00000000000E+000
+2.60000000000E+008, +6.60724606992E-002, +0.00000000000E+000
+2.60625000000E+008, +6.94793575820E-002, +0.00000000000E+000
+2.61250000000E+008, +6.65693363823E-002, +0.00000000000E+000
+2.61875000000E+008, +6.80572154284E-002, +0.00000000000E+000
+2.62500000000E+008, +6.46959864741E-002, +0.00000000000E+000
+2.63125000000E+008, +6.76887703536E-002, +0.00000000000E+000
+2.63750000000E+008, +6.98083497056E-002, +0.00000000000E+000
+2.64375000000E+008, +6.85516176521E-002, +0.00000000000E+000
+2.65000000000E+008, +6.80528717488E-002, +0.00000000000E+000
+2.65625000000E+008, +6.99397737531E-002, +0.00000000000E+000
+2.66250000000E+008, +6.78139784020E-002, +0.00000000000E+000
+2.66875000000E+008, +7.00702893599E-002, +0.00000000000E+000
+2.67500000000E+008, +6.75762761929E-002, +0.00000000000E+000
+2.68125000000E+008, +7.09325875575E-002, +0.00000000000E+000
+2.68750000000E+008, +6.63978583050E-002, +0.00000000000E+000
+2.69375000000E+008, +7.04172513252E-002, +0.00000000000E+000
+2.70000000000E+008, +6.85957827865E-002, +0.00000000000E+000
+2.70625000000E+008, +6.78202335316E-002, +0.00000000000E+000
+2.71250000000E+008, +6.69219209899E-002, +0.00000000000E+000
+2.71875000000E+008, +7.19414760777E-002, +0.00000000000E+000
+2.72500000000E+008, +6.93502484510E-002, +0.00000000000E+000
+2.73125000000E+008, +7.12597689472E-002, +0.00000000000E+000
+2.73750000000E+008, +6.87868909098E-002, +0.00000000000E+000
+2.74375000000E+008, +6.95474286598E-002, +0.00000000000E+000
+2.75000000000E+008, +6.96872469378E-002, +0.00000000000E+000
+2.75625000000E+008, +7.15745412435E-002, +0.00000000000E+000
+2.76250000000E+008, +7.20170865802E-002, +0.00000000000E+000
+2.76875000000E+008, +7.01025257295E-002, +0.00000000000E+000
+2.77500000000E+008, +7.08172748144E-002, +0.00000000000E+000
+2.78125000000E+008, +7.11425903370E-002, +0.00000000000E+000
+2.78750000000E+008, +7.25667612425E-002, +0.00000000000E+000
+2.79375000000E+008, +7.10430612070E-002, +0.00000000000E+000
+2.80000000000E+008, +7.26705042069E-002, +0.00000000000E+000
+2.80625000000E+008, +6.95217446096E-002, +0.00000000000E+000
+2.81250000000E+008, +7.26122318220E-002, +0.00000000000E+000
+2.81875000000E+008, +7.16567712678E-002, +0.00000000000E+000
+2.82500000000E+008, +7.23143766332E-002, +0.00000000000E+000
+2.83125000000E+008, +7.25868306944E-002, +0.00000000000E+000
+2.83750000000E+008, +7.18568556443E-002, +0.00000000000E+000
+2.84375000000E+008, +7.21151486390E-002, +0.00000000000E+000
+2.85000000000E+008, +7.21897703530E-002, +0.00000000000E+000
+2.85625000000E+008, +7.06419300255E-002, +0.00000000000E+000
+2.86250000000E+008, +7.42366598317E-002, +0.00000000000E+000
+2.86875000000E+008, +7.31396675538E-002, +0.00000000000E+000
+2.87500000000E+008, +7.55017372643E-002, +0.00000000000E+000
+2.88125000000E+008, +7.20034304900E-002, +0.00000000000E+000
+2.88750000000E+008, +7.45133030533E-002, +0.00000000000E+000
+2.89375000000E+008, +7.17243625887E-002, +0.00000000000E+000
+2.90000000000E+008, +7.33791579307E-002, +0.00000000000E+000
+2.90625000000E+008, +7.42709827002E-002, +0.00000000000E+000
+2.91250000000E+008, +7.33693702595E-002, +0.00000000000E+000
+2.91875000000E+008, +7.18367821202E-002, +0.00000000000E+000
+2.92500000000E+008, +7.26019658953E-002, +0.00000000000E+000
+2.93125000000E+008, +7.28365851631E-002, +0.00000000000E+000
+2.93750000000E+008, +7.54449033331E-002, +0.00000000000E+000
+2.94375000000E+008, +7.52703098347E-002, +0.00000000000E+000
+2.95000000000E+008, +7.44748472502E-002, +0.00000000000E+000
+2.95625000000E+008, +7.50818547844E-002, +0.00000000000E+000
+2.96250000000E+008, +7.41469123120E-002, +0.00000000000E+000
+2.96875000000E+008, +7.31583989821E-002, +0.00000000000E+000
+2.97500000000E+008, +7.44070321829E-002, +0.00000000000E+000
+2.98125000000E+008, +7.42217663201E-002, +0.00000000000E+000
+2.98750000000E+008, +7.48614692793E-002, +0.00000000000E+000
+2.99375000000E+008, +7.57927381625E-002, +0.00000000000E+000
+3.00000000000E+008, +7.60541644769E-002, +0.00000000000E+000
+3.00625000000E+008, +7.71835013876E-002, +0.00000000000E+000
+3.01250000000E+008, +7.47422506359E-002, +0.00000000000E+000
+3.01875000000E+008, +7.58335935693E-002, +0.00000000000E+000
+3.02500000000E+008, +7.67232032087E-002, +0.00000000000E+000
+3.03125000000E+008, +7.44071375811E-002, +0.00000000000E+000
+3.03750000000E+008, +7.53091908422E-002, +0.00000000000E+000
+3.04375000000E+008, +7.51393406196E-002, +0.00000000000E+000
+3.05000000000E+008, +7.44893521693E-002, +0.00000000000E+000
+3.05625000000E+008, +7.77331744332E-002, +0.00000000000E+000
+3.06250000000E+008, +7.69862500752E-002, +0.00000000000E+000
+3.06875000000E+008, +7.88139628633E-002, +0.00000000000E+000
+3.07500000000E+008, +7.68534896127E-002, +0.00000000000E+000
+3.08125000000E+008, +8.01200094370E-002, +0.00000000000E+000
+3.08750000000E+008, +7.63374767141E-002, +0.00000000000E+000
+3.09375000000E+008, +7.66911771568E-002, +0.00000000000E+000
+3.10000000000E+008, +7.81643271729E-002, +0.00000000000E+000
+3.10625000000E+008, +7.78004425013E-002, +0.00000000000E+000
+3.11250000000E+008, +7.79297402625E-002, +0.00000000000E+000
+3.11875000000E+008, +7.74159199286E-002, +0.00000000000E+000
