"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -1.01622506807E+001, +0.00000000000E+000
+2.50625000000E+008, -1.01579012478E+001, +0.00000000000E+000
+2.51250000000E+008, -1.01506294653E+001, +0.00000000000E+000
+2.51875000000E+008, -1.01420716718E+001, +0.00000000000E+000
+2.52500000000E+008, -1.01349847731E+001, +0.00000000000E+000
+2.53125000000E+008, -1.01286163011E+001, +0.00000000000E+000
+2.53750000000E+008, -1.01210775281E+001, +0.00000000000E+000
+2.54375000000E+008, -1.01112981542E+001, +0.00000000000E+000
+2.55000000000E+008, -1.01069130601E+001, +0.00000000000E+000
+2.55625000000E+008, -1.00986766952E+001, +0.00000000000E+000
+2.56250000000E+008, -1.00895588667E+001, +0.00000000000E+000
+2.56875000000E+008, -1.00843502403E+001, +0.00000000000E+000
+2.57500000000E+008, -1.00810691671E+001, +0.00000000000E+000
+2.58125000000E+008, -1.00720903139E+001, +0.00000000000E+000
+2.58750000000E+008, -1.00621132097E+001, +0.00000000000E+000
+2.59375000000E+008, -1.00550942455E+001, +0.00000000000E+000
+2.60000000000E+008, -1.00460838030E+001, +0.00000000000E+000
+2.60625000000E+008, -1.00442992675E+001, +0.00000000000E+000
+2.61250000000E+008, -1.00356216228E+001, +0.00000000000E+000
+2.61875000000E+008, -1.00258234909E+001, +0.00000000000E+000
+2.62500000000E+008, -1.00181943908E+001, +0.00000000000E+000
+2.63125000000E+008, -1.00095813571E+001, +0.00000000000E+000
+2.63750000000E+008, -1.00067000851E+001, +0.00000000000E+000
+2.64375000000E+008, -9.99972435097E+000, +0.00000000000E+000
+2.65000000000E+008, -9.99099226292E+000, +0.00000000000E+000
+2.65625000000E+008, -9.98950916582E+000, +0.00000000000E+000
+2.66250000000E+008, -9.97800585468E+000, +0.00000000000E+000
+2.66875000000E+008, -9.97613943611E+000, +0.00000000000E+000
+2.67500000000E+008, -9.96707060997E+000, +0.00000000000E+000
+2.68125000000E+008, -9.96217028496E+000, +0.00000000000E+000
+2.68750000000E+008, -9.95193694185E+000, +0.00000000000E+000
+2.69375000000E+008, -9.94937274070E+000, +0.00000000000E+000
+2.70000000000E+008, -9.94691276003E+000, +0.00000000000E+000
+2.70625000000E+008, -9.94300087784E+000, +0.00000000000E+000
+2.71250000000E+008, -9.93402197583E+000, +0.00000000000E+000
+2.71875000000E+008, -9.92703303675E+000, +0.00000000000E+000
