"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -2.29465119585E+001, +0.00000000000E+000
+2.50625000000E+008, -2.29164241117E+001, +0.00000000000E+000
+2.51250000000E+008, -2.29229370388E+001, +0.00000000000E+000
+2.51875000000E+008, -2.29552778971E+001, +0.00000000000E+000
+2.52500000000E+008, -2.29763294029E+001, +0.00000000000E+000
+2.53125000000E+008, -2.29786426998E+001, +0.00000000000E+000
+2.53750000000E+008, -2.30067796452E+001, +0.00000000000E+000
+2.54375000000E+008, -2.29645138471E+001, +0.00000000000E+000
+2.55000000000E+008, -2.29836503908E+001, +0.00000000000E+000
+2.55625000000E+008, -2.29517222018E+001, +0.00000000000E+000
+2.56250000000E+008, -2.30314086446E+001, +0.00000000000E+000
+2.56875000000E+008, -2.30061002077E+001, +0.00000000000E+000
+2.57500000000E+008, -2.29754544442E+001, +0.00000000000E+000
+2.58125000000E+008, -2.29903357331E+001, +0.00000000000E+000
+2.58750000000E+008, -2.30070428311E+001, +0.00000000000E+000
+2.59375000000E+008, -2.29993029960E+001, +0.00000000000E+000
+2.60000000000E+008, -2.29541990926E+001, +0.00000000000E+000
+2.60625000000E+008, -2.30148773570E+001, +0.00000000000E+000
+2.61250000000E+008, -2.30116120387E+001, +0.00000000000E+000
+2.61875000000E+008, -2.29710465700E+001, +0.00000000000E+000
+2.62500000000E+008, -2.29967249716E+001, +0.00000000000E+000
+2.63125000000E+008, -2.29972671196E+001, +0.00000000000E+000
+2.63750000000E+008, -2.29889325027E+001, +0.00000000000E+000
+2.64375000000E+008, -2.29484883402E+001, +0.00000000000E+000
+2.65000000000E+008, -2.29581700195E+001, +0.00000000000E+000
+2.65625000000E+008, -2.30029684423E+001, +0.00000000000E+000
+2.66250000000E+008, -2.29950744222E+001, +0.00000000000E+000
+2.66875000000E+008, -2.30014848556E+001, +0.00000000000E+000
+2.67500000000E+008, -2.29585961220E+001, +0.00000000000E+000
+2.68125000000E+008, -2.30161919259E+001, +0.00000000000E+000
+2.68750000000E+008, -2.29610305331E+001, +0.00000000000E+000
+2.69375000000E+008, -2.29527112205E+001, +0.00000000000E+000
+2.70000000000E+008, -2.29796809269E+001, +0.00000000000E+000
+2.70625000000E+008, -2.30255944217E+001, +0.00000000000E+000
+2.71250000000E+008, -2.29921155370E+001, +0.00000000000E+000
+2.71875000000E+008, -2.29959318030E+001, +0.00000000000E+000
+2.72500000000E+008, -2.30002455497E+001, +0.00000000000E+000
+2.73125000000E+008, -2.29822977105E+001, +0.00000000000E+000
+2.73750000000E+008, -2.30070272298E+001, +0.00000000000E+000
+2.74375000000E+008, -2.29801867697E+001, +0.00000000000E+000
+2.75000000000E+008, -2.29942995199E+001, +0.00000000000E+000
+2.75625000000E+008, -2.29958822879E+001, +0.00000000000E+000
+2.76250000000E+008, -2.29733890263E+001, +0.00000000000E+000
+2.76875000000E+008, -2.30263504931E+001, +0.00000000000E+000
+2.77500000000E+008, -2.30061193786E+001, +0.00000000000E+000
+2.78125000000E+008, -2.29856104892E+001, +0.00000000000E+000
+2.78750000000E+008, -2.29635316424E+001, +0.00000000000E+000
+2.79375000000E+008, -2.29999085041E+001, +0.00000000000E+000
+2.80000000000E+008, -2.29920384670E+001, +0.00000000000E+000
+2.80625000000E+008, -2.29771679366E+001, +0.00000000000E+000
+2.81250000000E+008, -2.29710685688E+001, +0.00000000000E+000
+2.81875000000E+008, -2.29138583517E+001, +0.00000000000E+000
+2.82500000000E+008, -2.30010993274E+001, +0.00000000000E+000
+2.83125000000E+008, -2.29881152752E+001, +0.00000000000E+000
+2.83750000000E+008, -2.29268081927E+001, +0.00000000000E+000
+2.84375000000E+008, -2.29719685464E+001, +0.00000000000E+000
+2.85000000000E+008, -2.29561145832E+001, +0.00000000000E+000
+2.85625000000E+008, -2.29981524024E+001, +0.00000000000E+000
+2.86250000000E+008, -2.29714985111E+001, +0.00000000000E+000
+2.86875000000E+008, -2.29524686729E+001, +0.00000000000E+000
+2.87500000000E+008, -2.29844031964E+001, +0.00000000000E+000
+2.88125000000E+008, -2.29465184615E+001, +0.00000000000E+000
+2.88750000000E+008, -2.29681194600E+001, +0.00000000000E+000
+2.89375000000E+008, -2.29389156426E+001, +0.00000000000E+000
+2.90000000000E+008, -2.29484305691E+001, +0.00000000000E+000
+2.90625000000E+008, -2.29451772302E+001, +0.00000000000E+000
+2.91250000000E+008, -2.29283404724E+001, +0.00000000000E+000
+2.91875000000E+008, -2.29411322019E+001, +0.00000000000E+000
+2.92500000000E+008, -2.29448120878E+001, +0.00000000000E+000
+2.93125000000E+008, -2.29092069342E+001, +0.00000000000E+000
+2.93750000000E+008, -2.29482593865E+001, +0.00000000000E+000
+2.94375000000E+008, -2.29202845623E+001, +0.00000000000E+000
+2.95000000000E+008, -2.29046969633E+001, +0.00000000000E+000
+2.95625000000E+008, -2.29118628792E+001, +0.00000000000E+000
+2.96250000000E+008, -2.29359483340E+001, +0.00000000000E+000
+2.96875000000E+008, -2.29004176978E+001, +0.00000000000E+000
+2.97500000000E+008, -2.29144549532E+001, +0.00000000000E+000
+2.98125000000E+008, -2.29110434368E+001, +0.00000000000E+000
+2.98750000000E+008, -2.29253919541E+001, +0.00000000000E+000
+2.99375000000E+008, -2.28942500368E+001, +0.00000000000E+000
+3.00000000000E+008, -2.28879589363E+001, +0.00000000000E+000
