"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.88538162283E+001, +0.00000000000E+000
+2.50625000000E+008, -5.32250285902E+001, +0.00000000000E+000
+2.51250000000E+008, -5.42416196308E+001, +0.00000000000E+000
+2.51875000000E+008, -5.12941655761E+001, +0.00000000000E+000
+2.52500000000E+008, -5.07221939568E+001, +0.00000000000E+000
+2.53125000000E+008, -5.35646021490E+001, +0.00000000000E+000
+2.53750000000E+008, -4.68710709111E+001, +0.00000000000E+000
+2.54375000000E+008, -5.12786118338E+001, +0.00000000000E+000
+2.55000000000E+008, -4.93351767343E+001, +0.00000000000E+000
+2.55625000000E+008, -5.17357735438E+001, +0.00000000000E+000
+2.56250000000E+008, -5.31760886105E+001, +0.00000000000E+000
+2.56875000000E+008, -5.12139486608E+001, +0.00000000000E+000
+2.57500000000E+008, -5.23157136009E+001, +0.00000000000E+000
+2.58125000000E+008, -5.20553661755E+001, +0.00000000000E+000
+2.58750000000E+008, -5.32223178613E+001, +0.00000000000E+000
+2.59375000000E+008, -5.07845571865E+001, +0.00000000000E+000
+2.60000000000E+008, -4.99189563277E+001, +0.00000000000E+000
+2.60625000000E+008, -5.20391562691E+001, +0.00000000000E+000
+2.61250000000E+008, -5.07972207313E+001, +0.00000000000E+000
+2.61875000000E+008, -5.17639970724E+001, +0.00000000000E+000
+2.62500000000E+008, -5.06669092265E+001, +0.00000000000E+000
+2.63125000000E+008, -5.27721853019E+001, +0.00000000000E+000
+2.63750000000E+008, -5.17567729192E+001, +0.00000000000E+000
+2.64375000000E+008, -5.09888002983E+001, +0.00000000000E+000
+2.65000000000E+008, -4.90490110911E+001, +0.00000000000E+000
+2.65625000000E+008, -4.98273427027E+001, +0.00000000000E+000
+2.66250000000E+008, -5.33475334367E+001, +0.00000000000E+000
+2.66875000000E+008, -5.43912880246E+001, +0.00000000000E+000
+2.67500000000E+008, -4.98858134315E+001, +0.00000000000E+000
+2.68125000000E+008, -5.10381461728E+001, +0.00000000000E+000
+2.68750000000E+008, -5.11806458922E+001, +0.00000000000E+000
+2.69375000000E+008, -5.02818506714E+001, +0.00000000000E+000
+2.70000000000E+008, -5.33345677105E+001, +0.00000000000E+000
+2.70625000000E+008, -5.05574679796E+001, +0.00000000000E+000
+2.71250000000E+008, -5.08852664687E+001, +0.00000000000E+000
+2.71875000000E+008, -5.02910124274E+001, +0.00000000000E+000
+2.72500000000E+008, -5.11950842344E+001, +0.00000000000E+000
+2.73125000000E+008, -5.01043318102E+001, +0.00000000000E+000
+2.73750000000E+008, -5.25796079597E+001, +0.00000000000E+000
+2.74375000000E+008, -5.37607644301E+001, +0.00000000000E+000
+2.75000000000E+008, -5.61943062249E+001, +0.00000000000E+000
+2.75625000000E+008, -5.09174776984E+001, +0.00000000000E+000
+2.76250000000E+008, -5.17604038862E+001, +0.00000000000E+000
+2.76875000000E+008, -5.26677740563E+001, +0.00000000000E+000
+2.77500000000E+008, -4.91463147351E+001, +0.00000000000E+000
+2.78125000000E+008, -5.03193613009E+001, +0.00000000000E+000
+2.78750000000E+008, -4.90846692101E+001, +0.00000000000E+000
+2.79375000000E+008, -5.35016188795E+001, +0.00000000000E+000
+2.80000000000E+008, -5.16817822913E+001, +0.00000000000E+000
+2.80625000000E+008, -5.61771733408E+001, +0.00000000000E+000
+2.81250000000E+008, -5.00139430651E+001, +0.00000000000E+000
+2.81875000000E+008, -5.29766660873E+001, +0.00000000000E+000
+2.82500000000E+008, -5.57396165453E+001, +0.00000000000E+000
+2.83125000000E+008, -5.00564288855E+001, +0.00000000000E+000
+2.83750000000E+008, -5.16508803326E+001, +0.00000000000E+000
+2.84375000000E+008, -5.12680201730E+001, +0.00000000000E+000
+2.85000000000E+008, -5.63272578899E+001, +0.00000000000E+000
+2.85625000000E+008, -5.07402926017E+001, +0.00000000000E+000
+2.86250000000E+008, -4.99658498445E+001, +0.00000000000E+000
+2.86875000000E+008, -5.21573952435E+001, +0.00000000000E+000
+2.87500000000E+008, -5.51388367872E+001, +0.00000000000E+000
+2.88125000000E+008, -5.22240886480E+001, +0.00000000000E+000
+2.88750000000E+008, -5.06758667215E+001, +0.00000000000E+000
+2.89375000000E+008, -5.19613676735E+001, +0.00000000000E+000
+2.90000000000E+008, -4.89414809660E+001, +0.00000000000E+000
+2.90625000000E+008, -5.33142915310E+001, +0.00000000000E+000
+2.91250000000E+008, -5.01039766365E+001, +0.00000000000E+000
+2.91875000000E+008, -5.02484552843E+001, +0.00000000000E+000
+2.92500000000E+008, -5.04808695685E+001, +0.00000000000E+000
+2.93125000000E+008, -5.18202019242E+001, +0.00000000000E+000
+2.93750000000E+008, -5.10972404272E+001, +0.00000000000E+000
+2.94375000000E+008, -5.14190689982E+001, +0.00000000000E+000
+2.95000000000E+008, -5.05508850995E+001, +0.00000000000E+000
+2.95625000000E+008, -5.12852364521E+001, +0.00000000000E+000
+2.96250000000E+008, -4.99350294881E+001, +0.00000000000E+000
+2.96875000000E+008, -5.06056505569E+001, +0.00000000000E+000
+2.97500000000E+008, -5.26447506770E+001, +0.00000000000E+000
+2.98125000000E+008, -5.13215985900E+001, +0.00000000000E+000
+2.98750000000E+008, -5.35992573482E+001, +0.00000000000E+000
+2.99375000000E+008, -5.03337346760E+001, +0.00000000000E+000
+3.00000000000E+008, -5.41307994452E+001, +0.00000000000E+000
+3.00625000000E+008, -5.30290667410E+001, +0.00000000000E+000
+3.01250000000E+008, -5.30713196073E+001, +0.00000000000E+000
+3.01875000000E+008, -5.37041876752E+001, +0.00000000000E+000
+3.02500000000E+008, -5.11567847756E+001, +0.00000000000E+000
+3.03125000000E+008, -6.03892301505E+001, +0.00000000000E+000
+3.03750000000E+008, -5.00042893266E+001, +0.00000000000E+000
+3.04375000000E+008, -5.11847257583E+001, +0.00000000000E+000
+3.05000000000E+008, -5.37151257590E+001, +0.00000000000E+000
+3.05625000000E+008, -5.00248639467E+001, +0.00000000000E+000
+3.06250000000E+008, -4.99493915985E+001, +0.00000000000E+000
+3.06875000000E+008, -5.33779932132E+001, +0.00000000000E+000
+3.07500000000E+008, -5.07224705843E+001, +0.00000000000E+000
+3.08125000000E+008, -4.96085311938E+001, +0.00000000000E+000
+3.08750000000E+008, -5.07298107552E+001, +0.00000000000E+000
+3.09375000000E+008, -5.11489946928E+001, +0.00000000000E+000
+3.10000000000E+008, -5.13162925489E+001, +0.00000000000E+000
+3.10625000000E+008, -5.09442214869E+001, +0.00000000000E+000
+3.11250000000E+008, -4.99135471939E+001, +0.00000000000E+000
+3.11875000000E+008, -5.30899545513E+001, +0.00000000000E+000
+3.12500000000E+008, -4.90800249665E+001, +0.00000000000E+000
+3.13125000000E+008, -5.08549396837E+001, +0.00000000000E+000
+3.13750000000E+008, -5.16170291164E+001, +0.00000000000E+000
+3.14375000000E+008, -5.06887150303E+001, +0.00000000000E+000
+3.15000000000E+008, -5.09231200288E+001, +0.00000000000E+000
+3.15625000000E+008, -5.48541110086E+001, +0.00000000000E+000
+3.16250000000E+008, -5.49273702830E+001, +0.00000000000E+000
+3.16875000000E+008, -5.10417157662E+001, +0.00000000000E+000
+3.17500000000E+008, -5.11184611225E+001, +0.00000000000E+000
+3.18125000000E+008, -5.09239431157E+001, +0.00000000000E+000
+3.18750000000E+008, -5.44515055732E+001, +0.00000000000E+000
+3.19375000000E+008, -5.05648312903E+001, +0.00000000000E+000
+3.20000000000E+008, -5.23627165194E+001, +0.00000000000E+000
+3.20625000000E+008, -4.99188334807E+001, +0.00000000000E+000
+3.21250000000E+008, -4.78069700516E+001, +0.00000000000E+000
+3.21875000000E+008, -5.23915688751E+001, +0.00000000000E+000
+3.22500000000E+008, -5.12607149729E+001, +0.00000000000E+000
+3.23125000000E+008, -5.13005051004E+001, +0.00000000000E+000
+3.23750000000E+008, -5.24384965957E+001, +0.00000000000E+000
+3.24375000000E+008, -5.24830656919E+001, +0.00000000000E+000
+3.25000000000E+008, -5.19007630671E+001, +0.00000000000E+000
+3.25625000000E+008, -5.14705165736E+001, +0.00000000000E+000
+3.26250000000E+008, -4.97958563923E+001, +0.00000000000E+000
+3.26875000000E+008, -5.10488657658E+001, +0.00000000000E+000
+3.27500000000E+008, -5.40324250972E+001, +0.00000000000E+000
