"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -2.11098663664E+001, +0.00000000000E+000
+2.50625000000E+008, -2.11030820888E+001, +0.00000000000E+000
+2.51250000000E+008, -2.11378789458E+001, +0.00000000000E+000
+2.51875000000E+008, -2.11368707093E+001, +0.00000000000E+000
+2.52500000000E+008, -2.10801117665E+001, +0.00000000000E+000
+2.53125000000E+008, -2.10412782223E+001, +0.00000000000E+000
+2.53750000000E+008, -2.10869525681E+001, +0.00000000000E+000
+2.54375000000E+008, -2.10966756738E+001, +0.00000000000E+000
+2.55000000000E+008, -2.11093460757E+001, +0.00000000000E+000
+2.55625000000E+008, -2.10996131482E+001, +0.00000000000E+000
+2.56250000000E+008, -2.10840703316E+001, +0.00000000000E+000
+2.56875000000E+008, -2.10302817899E+001, +0.00000000000E+000
+2.57500000000E+008, -2.10307075658E+001, +0.00000000000E+000
+2.58125000000E+008, -2.10732527857E+001, +0.00000000000E+000
+2.58750000000E+008, -2.10529892144E+001, +0.00000000000E+000
+2.59375000000E+008, -2.10644861309E+001, +0.00000000000E+000
+2.60000000000E+008, -2.10759533165E+001, +0.00000000000E+000
+2.60625000000E+008, -2.10857718810E+001, +0.00000000000E+000
+2.61250000000E+008, -2.10470717768E+001, +0.00000000000E+000
+2.61875000000E+008, -2.10982874205E+001, +0.00000000000E+000
+2.62500000000E+008, -2.11550445210E+001, +0.00000000000E+000
+2.63125000000E+008, -2.11563864020E+001, +0.00000000000E+000
+2.63750000000E+008, -2.10934117447E+001, +0.00000000000E+000
+2.64375000000E+008, -2.11316674295E+001, +0.00000000000E+000
+2.65000000000E+008, -2.11531520912E+001, +0.00000000000E+000
+2.65625000000E+008, -2.10513606332E+001, +0.00000000000E+000
+2.66250000000E+008, -2.10861105285E+001, +0.00000000000E+000
+2.66875000000E+008, -2.11042497454E+001, +0.00000000000E+000
+2.67500000000E+008, -2.11344742186E+001, +0.00000000000E+000
+2.68125000000E+008, -2.11452130515E+001, +0.00000000000E+000
+2.68750000000E+008, -2.11600741314E+001, +0.00000000000E+000
+2.69375000000E+008, -2.11897970715E+001, +0.00000000000E+000
+2.70000000000E+008, -2.12041225856E+001, +0.00000000000E+000
+2.70625000000E+008, -2.11614071761E+001, +0.00000000000E+000
+2.71250000000E+008, -2.11913865613E+001, +0.00000000000E+000
+2.71875000000E+008, -2.12217212897E+001, +0.00000000000E+000
+2.72500000000E+008, -2.12189333221E+001, +0.00000000000E+000
+2.73125000000E+008, -2.12531143461E+001, +0.00000000000E+000
+2.73750000000E+008, -2.12572379586E+001, +0.00000000000E+000
+2.74375000000E+008, -2.12554618926E+001, +0.00000000000E+000
+2.75000000000E+008, -2.12844118705E+001, +0.00000000000E+000
+2.75625000000E+008, -2.13678630232E+001, +0.00000000000E+000
+2.76250000000E+008, -2.14011530374E+001, +0.00000000000E+000
+2.76875000000E+008, -2.13746933448E+001, +0.00000000000E+000
+2.77500000000E+008, -2.14577506913E+001, +0.00000000000E+000
+2.78125000000E+008, -2.14329543476E+001, +0.00000000000E+000
+2.78750000000E+008, -2.15132543199E+001, +0.00000000000E+000
+2.79375000000E+008, -2.14704214401E+001, +0.00000000000E+000
+2.80000000000E+008, -2.14828837996E+001, +0.00000000000E+000
+2.80625000000E+008, -2.15739565801E+001, +0.00000000000E+000
+2.81250000000E+008, -2.15881604938E+001, +0.00000000000E+000
+2.81875000000E+008, -2.16584239241E+001, +0.00000000000E+000
+2.82500000000E+008, -2.16111432283E+001, +0.00000000000E+000
+2.83125000000E+008, -2.16862304175E+001, +0.00000000000E+000
+2.83750000000E+008, -2.17025410064E+001, +0.00000000000E+000
+2.84375000000E+008, -2.17572650339E+001, +0.00000000000E+000
+2.85000000000E+008, -2.17845857853E+001, +0.00000000000E+000
+2.85625000000E+008, -2.18980083053E+001, +0.00000000000E+000
+2.86250000000E+008, -2.18520926688E+001, +0.00000000000E+000
+2.86875000000E+008, -2.19510916139E+001, +0.00000000000E+000
+2.87500000000E+008, -2.19400625290E+001, +0.00000000000E+000
+2.88125000000E+008, -2.19865358855E+001, +0.00000000000E+000
+2.88750000000E+008, -2.20119516335E+001, +0.00000000000E+000
+2.89375000000E+008, -2.21313581388E+001, +0.00000000000E+000
+2.90000000000E+008, -2.21354164586E+001, +0.00000000000E+000
+2.90625000000E+008, -2.21202004889E+001, +0.00000000000E+000
+2.91250000000E+008, -2.22561303274E+001, +0.00000000000E+000
+2.91875000000E+008, -2.22328868613E+001, +0.00000000000E+000
+2.92500000000E+008, -2.22966748311E+001, +0.00000000000E+000
+2.93125000000E+008, -2.23636226534E+001, +0.00000000000E+000
+2.93750000000E+008, -2.24043658646E+001, +0.00000000000E+000
+2.94375000000E+008, -2.24609373031E+001, +0.00000000000E+000
+2.95000000000E+008, -2.25220173495E+001, +0.00000000000E+000
+2.95625000000E+008, -2.25162007904E+001, +0.00000000000E+000
+2.96250000000E+008, -2.25495654767E+001, +0.00000000000E+000
+2.96875000000E+008, -2.25882349568E+001, +0.00000000000E+000
+2.97500000000E+008, -2.27153199243E+001, +0.00000000000E+000
+2.98125000000E+008, -2.27431046738E+001, +0.00000000000E+000
+2.98750000000E+008, -2.27305944184E+001, +0.00000000000E+000
+2.99375000000E+008, -2.28131174096E+001, +0.00000000000E+000
+3.00000000000E+008, -2.28295652899E+001, +0.00000000000E+000
+3.00625000000E+008, -2.28929648192E+001, +0.00000000000E+000
+3.01250000000E+008, -2.29511831325E+001, +0.00000000000E+000
+3.01875000000E+008, -2.29762994360E+001, +0.00000000000E+000
+3.02500000000E+008, -2.30559115816E+001, +0.00000000000E+000
+3.03125000000E+008, -2.31257210390E+001, +0.00000000000E+000
+3.03750000000E+008, -2.31268993523E+001, +0.00000000000E+000
+3.04375000000E+008, -2.31666958869E+001, +0.00000000000E+000
+3.05000000000E+008, -2.31422576698E+001, +0.00000000000E+000
+3.05625000000E+008, -2.32599945421E+001, +0.00000000000E+000
+3.06250000000E+008, -2.33344147619E+001, +0.00000000000E+000
+3.06875000000E+008, -2.33344370343E+001, +0.00000000000E+000
+3.07500000000E+008, -2.34135449591E+001, +0.00000000000E+000
+3.08125000000E+008, -2.34320483080E+001, +0.00000000000E+000
+3.08750000000E+008, -2.34524037506E+001, +0.00000000000E+000
+3.09375000000E+008, -2.34728605391E+001, +0.00000000000E+000
+3.10000000000E+008, -2.35736157318E+001, +0.00000000000E+000
+3.10625000000E+008, -2.35383560585E+001, +0.00000000000E+000
+3.11250000000E+008, -2.35699660268E+001, +0.00000000000E+000
+3.11875000000E+008, -2.36507299076E+001, +0.00000000000E+000
+3.12500000000E+008, -2.36791795697E+001, +0.00000000000E+000
+3.13125000000E+008, -2.36914935811E+001, +0.00000000000E+000
+3.13750000000E+008, -2.37039117776E+001, +0.00000000000E+000
+3.14375000000E+008, -2.37168568539E+001, +0.00000000000E+000
+3.15000000000E+008, -2.38127226679E+001, +0.00000000000E+000
+3.15625000000E+008, -2.38416008999E+001, +0.00000000000E+000
+3.16250000000E+008, -2.38301115454E+001, +0.00000000000E+000
+3.16875000000E+008, -2.39045088617E+001, +0.00000000000E+000
+3.17500000000E+008, -2.38507893079E+001, +0.00000000000E+000
+3.18125000000E+008, -2.39579447711E+001, +0.00000000000E+000
+3.18750000000E+008, -2.39956579795E+001, +0.00000000000E+000
+3.19375000000E+008, -2.39518744477E+001, +0.00000000000E+000
+3.20000000000E+008, -2.39818549169E+001, +0.00000000000E+000
+3.20625000000E+008, -2.40701618210E+001, +0.00000000000E+000
+3.21250000000E+008, -2.40217344039E+001, +0.00000000000E+000
+3.21875000000E+008, -2.40896112674E+001, +0.00000000000E+000
+3.22500000000E+008, -2.41678964269E+001, +0.00000000000E+000
+3.23125000000E+008, -2.40574542521E+001, +0.00000000000E+000
+3.23750000000E+008, -2.41697033545E+001, +0.00000000000E+000
+3.24375000000E+008, -2.41662267813E+001, +0.00000000000E+000
+3.25000000000E+008, -2.41386576571E+001, +0.00000000000E+000
+3.25625000000E+008, -2.42138553059E+001, +0.00000000000E+000
+3.26250000000E+008, -2.41794462296E+001, +0.00000000000E+000
+3.26875000000E+008, -2.42477086170E+001, +0.00000000000E+000
+3.27500000000E+008, -2.42891315147E+001, +0.00000000000E+000
+3.28125000000E+008, -2.43108045783E+001, +0.00000000000E+000
+3.28750000000E+008, -2.43035670655E+001, +0.00000000000E+000
+3.29375000000E+008, -2.42729715157E+001, +0.00000000000E+000
+3.30000000000E+008, -2.43421827920E+001, +0.00000000000E+000
+3.30625000000E+008, -2.43335710387E+001, +0.00000000000E+000
+3.31250000000E+008, -2.43837330149E+001, +0.00000000000E+000
+3.31875000000E+008, -2.44074665683E+001, +0.00000000000E+000
+3.32500000000E+008, -2.44321183232E+001, +0.00000000000E+000
+3.33125000000E+008, -2.43983965510E+001, +0.00000000000E+000
+3.33750000000E+008, -2.44746802974E+001, +0.00000000000E+000
+3.34375000000E+008, -2.45270871464E+001, +0.00000000000E+000
+3.35000000000E+008, -2.45071788878E+001, +0.00000000000E+000
+3.35625000000E+008, -2.45143721215E+001, +0.00000000000E+000
+3.36250000000E+008, -2.45227590688E+001, +0.00000000000E+000
+3.36875000000E+008, -2.44786590716E+001, +0.00000000000E+000
+3.37500000000E+008, -2.45607012888E+001, +0.00000000000E+000
+3.38125000000E+008, -2.46188310036E+001, +0.00000000000E+000
+3.38750000000E+008, -2.46154627018E+001, +0.00000000000E+000
+3.39375000000E+008, -2.46284765846E+001, +0.00000000000E+000
+3.40000000000E+008, -2.46427231803E+001, +0.00000000000E+000
+3.40625000000E+008, -2.47062455221E+001, +0.00000000000E+000
+3.41250000000E+008, -2.47035990010E+001, +0.00000000000E+000
+3.41875000000E+008, -2.46988850122E+001, +0.00000000000E+000
+3.42500000000E+008, -2.47676601397E+001, +0.00000000000E+000
+3.43125000000E+008, -2.48200992533E+001, +0.00000000000E+000
+3.43750000000E+008, -2.48557960581E+001, +0.00000000000E+000
+3.44375000000E+008, -2.48611791920E+001, +0.00000000000E+000
+3.45000000000E+008, -2.49273380733E+001, +0.00000000000E+000
+3.45625000000E+008, -2.49950349796E+001, +0.00000000000E+000
+3.46250000000E+008, -2.49664807352E+001, +0.00000000000E+000
+3.46875000000E+008, -2.49680685816E+001, +0.00000000000E+000
+3.47500000000E+008, -2.49651047197E+001, +0.00000000000E+000
+3.48125000000E+008, -2.50727304553E+001, +0.00000000000E+000
+3.48750000000E+008, -2.50658032412E+001, +0.00000000000E+000
+3.49375000000E+008, -2.51309433968E+001, +0.00000000000E+000
+3.50000000000E+008, -2.51429065635E+001, +0.00000000000E+000
+3.50625000000E+008, -2.51819688511E+001, +0.00000000000E+000
+3.51250000000E+008, -2.52066043191E+001, +0.00000000000E+000
+3.51875000000E+008, -2.52222108713E+001, +0.00000000000E+000
+3.52500000000E+008, -2.53186803874E+001, +0.00000000000E+000
+3.53125000000E+008, -2.53116374189E+001, +0.00000000000E+000
+3.53750000000E+008, -2.53624446140E+001, +0.00000000000E+000
+3.54375000000E+008, -2.54090429485E+001, +0.00000000000E+000
+3.55000000000E+008, -2.54651922486E+001, +0.00000000000E+000
+3.55625000000E+008, -2.55440038593E+001, +0.00000000000E+000
+3.56250000000E+008, -2.54914951181E+001, +0.00000000000E+000
+3.56875000000E+008, -2.55577390100E+001, +0.00000000000E+000
+3.57500000000E+008, -2.56213564948E+001, +0.00000000000E+000
+3.58125000000E+008, -2.57187310032E+001, +0.00000000000E+000
+3.58750000000E+008, -2.56487243589E+001, +0.00000000000E+000
+3.59375000000E+008, -2.57291632838E+001, +0.00000000000E+000
+3.60000000000E+008, -2.57845785795E+001, +0.00000000000E+000
+3.60625000000E+008, -2.58584408652E+001, +0.00000000000E+000
+3.61250000000E+008, -2.58641982114E+001, +0.00000000000E+000
+3.61875000000E+008, -2.58890348096E+001, +0.00000000000E+000
+3.62500000000E+008, -2.60303372308E+001, +0.00000000000E+000
+3.63125000000E+008, -2.60078564450E+001, +0.00000000000E+000
+3.63750000000E+008, -2.60365459898E+001, +0.00000000000E+000
+3.64375000000E+008, -2.60797808985E+001, +0.00000000000E+000
+3.65000000000E+008, -2.61639014432E+001, +0.00000000000E+000
+3.65625000000E+008, -2.61580494005E+001, +0.00000000000E+000
+3.66250000000E+008, -2.61902520099E+001, +0.00000000000E+000
+3.66875000000E+008, -2.62697579760E+001, +0.00000000000E+000
+3.67500000000E+008, -2.62690922621E+001, +0.00000000000E+000
+3.68125000000E+008, -2.63806903573E+001, +0.00000000000E+000
+3.68750000000E+008, -2.64033489989E+001, +0.00000000000E+000
