"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +2.52401048003E+001, +0.00000000000E+000
+2.50625000000E+008, +2.51737283904E+001, +0.00000000000E+000
+2.51250000000E+008, +2.52448849473E+001, +0.00000000000E+000
+2.51875000000E+008, +2.52001786767E+001, +0.00000000000E+000
+2.52500000000E+008, +2.52124102375E+001, +0.00000000000E+000
+2.53125000000E+008, +2.52206650144E+001, +0.00000000000E+000
+2.53750000000E+008, +2.52148224667E+001, +0.00000000000E+000
+2.54375000000E+008, +2.51770088226E+001, +0.00000000000E+000
+2.55000000000E+008, +2.51944115278E+001, +0.00000000000E+000
+2.55625000000E+008, +2.51969367161E+001, +0.00000000000E+000
+2.56250000000E+008, +2.52171966446E+001, +0.00000000000E+000
+2.56875000000E+008, +2.51536520272E+001, +0.00000000000E+000
+2.57500000000E+008, +2.51289369994E+001, +0.00000000000E+000
+2.58125000000E+008, +2.51070220117E+001, +0.00000000000E+000
+2.58750000000E+008, +2.51661620844E+001, +0.00000000000E+000
+2.59375000000E+008, +2.51492271392E+001, +0.00000000000E+000
+2.60000000000E+008, +2.51403976791E+001, +0.00000000000E+000
+2.60625000000E+008, +2.51008642218E+001, +0.00000000000E+000
+2.61250000000E+008, +2.50860585265E+001, +0.00000000000E+000
+2.61875000000E+008, +2.50918055707E+001, +0.00000000000E+000
+2.62500000000E+008, +2.51158620412E+001, +0.00000000000E+000
+2.63125000000E+008, +2.50405382753E+001, +0.00000000000E+000
+2.63750000000E+008, +2.50938850321E+001, +0.00000000000E+000
+2.64375000000E+008, +2.50727479634E+001, +0.00000000000E+000
+2.65000000000E+008, +2.50803702438E+001, +0.00000000000E+000
+2.65625000000E+008, +2.50840964745E+001, +0.00000000000E+000
+2.66250000000E+008, +2.50729274205E+001, +0.00000000000E+000
+2.66875000000E+008, +2.50254317602E+001, +0.00000000000E+000
+2.67500000000E+008, +2.50397851230E+001, +0.00000000000E+000
+2.68125000000E+008, +2.50560560474E+001, +0.00000000000E+000
+2.68750000000E+008, +2.50125441100E+001, +0.00000000000E+000
+2.69375000000E+008, +2.49967693716E+001, +0.00000000000E+000
+2.70000000000E+008, +2.49842802501E+001, +0.00000000000E+000
+2.70625000000E+008, +2.49467662287E+001, +0.00000000000E+000
+2.71250000000E+008, +2.49952407944E+001, +0.00000000000E+000
+2.71875000000E+008, +2.50067141286E+001, +0.00000000000E+000
+2.72500000000E+008, +2.49784820081E+001, +0.00000000000E+000
+2.73125000000E+008, +2.49493743963E+001, +0.00000000000E+000
+2.73750000000E+008, +2.49405697100E+001, +0.00000000000E+000
+2.74375000000E+008, +2.49361446090E+001, +0.00000000000E+000
+2.75000000000E+008, +2.49266358889E+001, +0.00000000000E+000
+2.75625000000E+008, +2.49288868131E+001, +0.00000000000E+000
+2.76250000000E+008, +2.49140724176E+001, +0.00000000000E+000
+2.76875000000E+008, +2.49174702259E+001, +0.00000000000E+000
+2.77500000000E+008, +2.49584772153E+001, +0.00000000000E+000
+2.78125000000E+008, +2.49444023866E+001, +0.00000000000E+000
+2.78750000000E+008, +2.49104326424E+001, +0.00000000000E+000
+2.79375000000E+008, +2.48930542052E+001, +0.00000000000E+000
+2.80000000000E+008, +2.49082574902E+001, +0.00000000000E+000
+2.80625000000E+008, +2.49062472546E+001, +0.00000000000E+000
+2.81250000000E+008, +2.48305657853E+001, +0.00000000000E+000
+2.81875000000E+008, +2.48645511964E+001, +0.00000000000E+000
+2.82500000000E+008, +2.48893036455E+001, +0.00000000000E+000
+2.83125000000E+008, +2.48898136190E+001, +0.00000000000E+000
+2.83750000000E+008, +2.48500472855E+001, +0.00000000000E+000
+2.84375000000E+008, +2.47976175610E+001, +0.00000000000E+000
+2.85000000000E+008, +2.48152705620E+001, +0.00000000000E+000
+2.85625000000E+008, +2.48492369978E+001, +0.00000000000E+000
+2.86250000000E+008, +2.48208373998E+001, +0.00000000000E+000
+2.86875000000E+008, +2.48231261845E+001, +0.00000000000E+000
+2.87500000000E+008, +2.47971202343E+001, +0.00000000000E+000
+2.88125000000E+008, +2.48429042170E+001, +0.00000000000E+000
+2.88750000000E+008, +2.48162217379E+001, +0.00000000000E+000
+2.89375000000E+008, +2.47913116707E+001, +0.00000000000E+000
+2.90000000000E+008, +2.48099754912E+001, +0.00000000000E+000
+2.90625000000E+008, +2.48321630101E+001, +0.00000000000E+000
+2.91250000000E+008, +2.47847332497E+001, +0.00000000000E+000
+2.91875000000E+008, +2.47736897820E+001, +0.00000000000E+000
+2.92500000000E+008, +2.48076234859E+001, +0.00000000000E+000
+2.93125000000E+008, +2.48029290769E+001, +0.00000000000E+000
+2.93750000000E+008, +2.47797175439E+001, +0.00000000000E+000
+2.94375000000E+008, +2.47816526029E+001, +0.00000000000E+000
+2.95000000000E+008, +2.47397261720E+001, +0.00000000000E+000
+2.95625000000E+008, +2.47539573960E+001, +0.00000000000E+000
+2.96250000000E+008, +2.47411109766E+001, +0.00000000000E+000
+2.96875000000E+008, +2.47942905097E+001, +0.00000000000E+000
+2.97500000000E+008, +2.47664233300E+001, +0.00000000000E+000
+2.98125000000E+008, +2.47557291112E+001, +0.00000000000E+000
+2.98750000000E+008, +2.47427692360E+001, +0.00000000000E+000
+2.99375000000E+008, +2.47550039345E+001, +0.00000000000E+000
+3.00000000000E+008, +2.47754473713E+001, +0.00000000000E+000
+3.00625000000E+008, +2.47764823401E+001, +0.00000000000E+000
+3.01250000000E+008, +2.47677541952E+001, +0.00000000000E+000
+3.01875000000E+008, +2.47827447490E+001, +0.00000000000E+000
+3.02500000000E+008, +2.47822681135E+001, +0.00000000000E+000
+3.03125000000E+008, +2.47682940616E+001, +0.00000000000E+000
+3.03750000000E+008, +2.47542351727E+001, +0.00000000000E+000
+3.04375000000E+008, +2.47750705891E+001, +0.00000000000E+000
+3.05000000000E+008, +2.47409045562E+001, +0.00000000000E+000
+3.05625000000E+008, +2.47761166181E+001, +0.00000000000E+000
