"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.36787045390E+001, +0.00000000000E+000
+2.50625000000E+008, -4.29328261957E+001, +0.00000000000E+000
+2.51250000000E+008, -4.36289525355E+001, +0.00000000000E+000
+2.51875000000E+008, -4.32164349784E+001, +0.00000000000E+000
+2.52500000000E+008, -4.33747276948E+001, +0.00000000000E+000
+2.53125000000E+008, -4.32776622793E+001, +0.00000000000E+000
+2.53750000000E+008, -4.32282240735E+001, +0.00000000000E+000
+2.54375000000E+008, -4.31190500576E+001, +0.00000000000E+000
+2.55000000000E+008, -4.32164598588E+001, +0.00000000000E+000
+2.55625000000E+008, -4.29316602718E+001, +0.00000000000E+000
+2.56250000000E+008, -4.32492033748E+001, +0.00000000000E+000
+2.56875000000E+008, -4.34406391858E+001, +0.00000000000E+000
+2.57500000000E+008, -4.33659146669E+001, +0.00000000000E+000
+2.58125000000E+008, -4.29413235200E+001, +0.00000000000E+000
+2.58750000000E+008, -4.29110770074E+001, +0.00000000000E+000
+2.59375000000E+008, -4.34955078787E+001, +0.00000000000E+000
+2.60000000000E+008, -4.34600303074E+001, +0.00000000000E+000
+2.60625000000E+008, -4.33030841681E+001, +0.00000000000E+000
+2.61250000000E+008, -4.35745862807E+001, +0.00000000000E+000
+2.61875000000E+008, -4.33785759375E+001, +0.00000000000E+000
+2.62500000000E+008, -4.32742297727E+001, +0.00000000000E+000
+2.63125000000E+008, -4.34384241970E+001, +0.00000000000E+000
+2.63750000000E+008, -4.32798870487E+001, +0.00000000000E+000
+2.64375000000E+008, -4.33749683472E+001, +0.00000000000E+000
+2.65000000000E+008, -4.31836394505E+001, +0.00000000000E+000
+2.65625000000E+008, -4.29411885706E+001, +0.00000000000E+000
+2.66250000000E+008, -4.34537999984E+001, +0.00000000000E+000
+2.66875000000E+008, -4.29112971057E+001, +0.00000000000E+000
+2.67500000000E+008, -4.32767462797E+001, +0.00000000000E+000
+2.68125000000E+008, -4.37880979094E+001, +0.00000000000E+000
+2.68750000000E+008, -4.34367561281E+001, +0.00000000000E+000
+2.69375000000E+008, -4.33000837532E+001, +0.00000000000E+000
+2.70000000000E+008, -4.30275831114E+001, +0.00000000000E+000
+2.70625000000E+008, -4.31589366828E+001, +0.00000000000E+000
+2.71250000000E+008, -4.29165781929E+001, +0.00000000000E+000
+2.71875000000E+008, -4.31413010212E+001, +0.00000000000E+000
+2.72500000000E+008, -4.29301959473E+001, +0.00000000000E+000
+2.73125000000E+008, -4.31691678716E+001, +0.00000000000E+000
+2.73750000000E+008, -4.31574118431E+001, +0.00000000000E+000
+2.74375000000E+008, -4.35532875038E+001, +0.00000000000E+000
+2.75000000000E+008, -4.34768414293E+001, +0.00000000000E+000
+2.75625000000E+008, -4.35178964879E+001, +0.00000000000E+000
+2.76250000000E+008, -4.33023557165E+001, +0.00000000000E+000
+2.76875000000E+008, -4.33581238439E+001, +0.00000000000E+000
